tld,url,2008,2016,2020,depth,fromedgi
energy.gov,http://energy.gov:80/,20080102104308,20160101080229,20200101015606,high,TRUE
nasa.gov,http://esto.nasa.gov:80/,20080110042528,20160215021837,20200107064548,high,TRUE
noaa.gov,http://ioos.noaa.gov:80/,20080212081657,20160119235614,20200101090443,high,TRUE
nih.gov,http://kids.niehs.nih.gov:80/,20080511170912,20160103031901,20200106155908,high,TRUE
noaa.gov,http://sos.noaa.gov/datasets/,20080120085738,20160103125419,20200204054319,high,TRUE
doe.gov,http://srnl.doe.gov:80/,20080117151742,20160119161112,20200103045411,high,TRUE
noaa.gov,http://sxi.ngdc.noaa.gov:80/,20080212052224,20160111024620,20200325052801,high,TRUE
usgs.gov,http://waterdata.usgs.gov:80/nwis/rt,20080516081738,20160114073438,20200101042105,high,TRUE
blm.gov,http://www.blm.gov:80/careers/,20080218002342,20160301205224,20200114232355,high,TRUE
cdc.gov,http://www.cdc.gov:80/CDCTV/,20080808225933,20160102170208,20200101233646,high,TRUE
cdc.gov,http://www.cdc.gov:80/nceh/,20080107013313,20160104003702,20200106090028,high,TRUE
cdc.gov,http://www.cdc.gov:80/niosh/hhe,20080101195327,20160121085703,20200107071556,high,TRUE
cdc.gov,http://www.cdc.gov:80/niosh/pubs/all_date_desc_nopubnumbers.html,20080224025309,20160101123536,20200117141720,high,TRUE
doi.gov,http://www.doi.gov:80/,20080109143405,20160101171507,20200101230049,high,TRUE
doi.gov,http://www.doi.gov:80/foia,20080209113617,20160112224902,20200114231640,high,TRUE
doi.gov,http://www.doi.gov/notices,20080511185235,20160318081240,20200108054058,high,TRUE
doi.gov,http://www.doi.gov:80/ocio/,20080509131638,20160113030904,20200115053836,high,TRUE
doi.gov,http://www.doi.gov:80/oia,20080509174522,20160107015207,20200101053945,high,TRUE
doi.gov,http://www.doi.gov:80/ost,20080514111225,20160131104100,20200122041710,high,TRUE
doi.gov,http://www.doi.gov:80/pmb/,20080514220246,20160113110656,20200122041901,high,TRUE
energy.gov,http://www.eere.energy.gov:80/,20080102103422,20160120013326,20200101042449,high,TRUE
